"country","country_code","region","city","id","osm_lat","osm_long","g_lat","g_long"
"Poland","PL",,"Pleszew","1868542","51.8961121","17.7894584",,
"Poland","PL",,"Police","1869277","53.5486435","14.5657399",,
"Poland","PL",,"Polkowice","1869326","51.5047075","16.0718887",,
"Poland","PL",,"Poniatowa","1869442","51.19298","22.06505",,
"Poland","PL",,"Poreba","1869616","49.98041","18.89047",,
"Poland","PL",,"Poznan","1869871","52.4062306316991","16.9230018740802",,
"Poland","PL",,"Prudnik","1870106","50.3212034","17.5805076",,
"Poland","PL",,"Pruszków","1870173","52.1643531","20.8017386",,
"Poland","PL",,"Przasnysz","1870188","53.018915","20.8792368",,
"Poland","PL",,"Przeworsk","1870376","50.0601735","22.4923769",,
"Poland","PL",,"Pszczyna","1870757","49.9717302","18.9467518",,
"Poland","PL",,"Pszów","1870760","50.0401131","18.3934614",,
"Poland","PL",,"Puck","1870800","54.7202658","18.4113053",,
"Poland","PL",,"Pyrzyce","1870923","53.1457","14.89267",,
"Poland","PL",,"Pyskowice","1870925","50.389989509588","18.6122397288715",,
"Poland","PL",,"Racibórz","1871029","50.0920807","18.2198419",,
"Poland","PL",,"Radlin","1871122","50.86219","20.74944",,
"Poland","PL",,"Radomsko","1871158","51.0676691","19.4429971",,
"Poland","PL",,"Radom","1871157","51.4072078","21.1517282",,
"Poland","PL",,"Radzionków","1871320","50.4002717","18.9026247",,
"Poland","PL",,"Radzyn Podlaski","1871343","51.78092","22.62231",,
"Poland","PL",,"Rawa Mazowiecka","1871577","51.7624929","20.2519293",,
"Poland","PL",,"Rawicz","1871585","51.6106631","16.8663113",,
"Poland","PL",,"Reda","1871652","54.6170279118494","18.3373350437959",,
"Poland","PL",,"Rogozno","1872116","52.7522783","16.9935892",,
"Poland","PL",,"Ruda Slaska","1872717","50.2661534084538","18.8693677222047",,
"Poland","PL",,"Rumia","1872911","54.5669051272622","18.3830505559246",,
"Poland","PL",,"Rybnik","1873141","50.0963409","18.5443907",,
"Poland","PL",,"Ryki","1873243","51.62795","21.930331",,
"Poland","PL",,"Rypin","1873274","53.0661002","19.4089968",,
"Poland","PL",,"Rzeszów","1873471","50.0318274461826","21.998254402044",,
"Poland","PL",,"Sandomierz","1873856","50.6802453854745","21.7507209867693",,
"Poland","PL",,"Sanok","1873883","49.5587563","22.2052358",,
"Poland","PL",,"Sepolno Krajenskie","1874660","53.4548316","17.5342744",,
"Poland","PL",,"Siedlce","1874810","52.165046189362","22.2711933385952",,
"Poland","PL",,"Siemianowice Slaskie","1874962","50.3134789007809","19.0264667169085",,
"Poland","PL",,"Siemiatycze","1874974","52.42718","22.86474",,
"Poland","PL",,"Sieradz","1875079","51.5980077","18.739202",,
"Poland","PL",,"Sierpc","1875136","52.8540162689415","19.6661744735914",,
"Poland","PL",,"Skarzysko-Kamienna","1875391","51.1186148","20.8763885",,
