country,country_code,region,city,id,osm_lat,osm_long,g_lat,g_long
Romania,RO,,Maglavit,1921519,44.0304621635741,23.0954164239429,44.0333333,23.1
Romania,RO,,Magura Ilvei,1921530,47.3733474,24.8090912,47.373521,24.801603
Romania,RO,,Magura,1921534,44.0284983257661,25.3932493877485,46.564136,26.835135
Romania,RO,,Magura,1921537,44.0284983257661,25.3932493877485,46.564136,26.835135
Romania,RO,,Magura,1921546,44.0284983257661,25.3932493877485,46.564136,26.835135
Romania,RO,,Magurele,1921560,44.3482592689023,26.0273910822206,45.0973333,26.0394096
Romania,RO,,Magurele,1921562,44.3482592689023,26.0273910822206,45.0973333,26.0394096
Romania,RO,,Magureni,1921567,44.7002237284818,24.1517334218646,45.0439,25.7516
Romania,RO,,Maguri-Racatau,1921571,46.6432594,23.1940681,46.6479209,23.1993907
Romania,RO,,Mahmudia,1921610,45.0858182,29.0877499,45.0833333,29.0833333
Romania,RO,,Maicanesti,1921623,45.5004905955637,27.4935421365628,45.5016394,27.4898353
Romania,RO,,Maierus,1921630,45.8996615024722,25.5376456520159,45.9,25.5333333
Romania,RO,,Maieru,1921629,47.3994939003205,24.7392645665286,47.4,24.75
Romania,RO,,Malaia,1921664,45.3503700301537,24.0396377513751,45.35,24.0333333
Romania,RO,,Maldaeni,1921674,44.1265792,24.9232741,44.13476,24.917593
Romania,RO,,Maldaresti,1921682,45.1221323224738,24.0010117987684,45.1259244,23.9987668
Romania,RO,,Malini,1921693,47.4417214241803,26.0804092072262,47.4536485,26.087231
Romania,RO,,Malnas,1921703,46.0073106751637,25.8440913199465,46.0077474,25.8411026
Romania,RO,,Malovat,1921707,44.7057472,22.729669,44.7067796,22.727365
Romania,RO,,Malu Mare,1921732,44.241451,23.8568161,44.2417933,23.8545295
Romania,RO,,Malu cu Flori,1921715,45.1448691858086,25.2134788467451,45.15,25.2
Romania,RO,,Malureni,1921738,45.0779954651221,24.7845517321328,45.0666667,24.4333333
Romania,RO,,Malusteni,1921749,46.1809276715135,27.9246813339367,46.1833333,27.9166667
Romania,RO,,Manasia,1921769,45.3036306,26.756344,44.707279,26.670518
Romania,RO,,Manastirea Casin,1921776,46.1509528585006,26.6910024396707,46.15,26.6833333
Romania,RO,,Manastirea Homorului,1921788,,,47.5984046,25.8588462
Romania,RO,,Manastirea,1921796,46.9480675911452,27.2032290302205,44.215141,26.9006
Romania,RO,,Manastireni,1921813,47.8372349172444,26.7548886991308,46.7813889,23.0830556
Romania,RO,,Manastiur,1921818,45.8320588,22.0675523,45.8300156,22.0643136
Romania,RO,,Maneciu,1921847,45.2922310006464,26.0063684013725,45.316432,25.993139
Romania,RO,,Manesti,1921857,44.9648924173316,25.2850618612269,44.864673,25.850941
Romania,RO,,Manesti,1921860,44.9648924173316,25.2850618612269,44.864673,25.850941
Romania,RO,,Mangalia,1921862,43.8131168580085,28.5650095859546,43.8172222,28.5827778
Romania,RO,,Manoleasa,1921879,47.9928666436032,27.0604691193919,47.994194,27.047191
Romania,RO,,Manzalesti,1921892,45.4886918,26.6575332,45.5,26.65
Romania,RO,,Maracineni,1921902,45.1814915909516,26.8146345302301,44.892793,24.8778122
Romania,RO,,Maracineni,1921903,45.1814915909516,26.8146345302301,44.892793,24.8778122
Romania,RO,,Marasesti,1921921,45.8739684,27.2184766,45.88,27.23
Romania,RO,,Marasu,1921928,44.8452455,27.968947,44.85,27.9666667
Romania,RO,,Marca,1921934,47.210439911433,22.5570542668397,47.209637,22.5621257
Romania,RO,,Margaritesti,1921969,44.2995259616,24.1424102546935,45.4313516,26.8372155
Romania,RO,,Margau,1921973,46.7527035,22.959314,46.7478922,22.953839
Romania,RO,,Marga,1921965,45.504931347837,22.5157096097698,45.5046249,22.5189122
Romania,RO,,Marghita,1921977,47.3489392612952,22.3391164351943,47.35,22.3333333
Romania,RO,,Margina,1921979,45.8617981441782,22.2727815902886,45.8612395,22.2719636
Romania,RO,,Marginea,1921986,47.804465555496,25.819398857741,47.812408,25.834129
Romania,RO,,Margineni,1921998,45.7305188254736,25.0461693565773,46.587594,26.860376
Romania,RO,,Margineni,1922002,45.7305188254736,25.0461693565773,46.587594,26.860376
Romania,RO,,Mariselu,1922025,47.0158666811644,24.5077296351884,47.0113867,24.5087897
Romania,RO,,Marisel,1922022,46.6838565,23.1146238,46.6853,23.1087
Romania,RO,,Marpod,1922073,45.871121593518,24.4942803922038,45.8701167,24.4931909
Romania,RO,,Marsani,1922075,44.0114388,24.0132703,44.0166667,24.0166667
Romania,RO,,Marsa,1922074,44.372538840095,25.5587448709378,45.6952778,24.3761111
Romania,RO,,Martinesti,1922091,45.5030560491061,27.3058407685168,45.8132194,23.1258546
Romania,RO,,Martinis,1922095,46.2328028,25.3908976,46.2333333,25.3833333
Romania,RO,,Maruntei,1922109,44.5962222,24.687953,44.222914,24.4585048
Romania,RO,,Marzanesti,1922122,43.9350106241713,25.4659091750701,45.5666667,25.3333333
Romania,RO,,Masloc,1922133,45.9971075550463,21.4545967139799,45.9973418,21.4565243
Romania,RO,,Mastacani,1922135,45.763801,28.0547273,45.7645806,28.0528011
Romania,RO,,Matasari,1922145,44.8492768152436,23.0865584459467,44.85,23.0833333
Romania,RO,,Matasaru,1922147,44.7079821185563,25.4287823971553,44.674978,25.428818
Romania,RO,,Matca,1922150,45.8554358610819,27.5359819982475,45.85,27.5333333
Romania,RO,,Mateesti,1922152,45.0661194638312,23.8500469996547,45.0666667,23.85
Romania,RO,,Matei,1922158,46.9822213241773,24.2652402137019,46.9826779,24.2651073
Romania,RO,,Maureni,1922176,45.4038918,21.5024971,45.4072689,21.5038423
Romania,RO,,Mavrodin,1922177,44.0354444309854,25.2394406047356,44.041119,25.24712
Romania,RO,,Maxineni,1922183,45.4090552386571,27.6354918150373,45.408556,27.6372087
Romania,RO,,Medgidia,1922202,44.2411619326105,28.279015854701,44.2502778,28.2613889
Romania,RO,,Medias,1922205,46.160792709451,24.3504321211513,46.1638889,24.3508333
Romania,RO,,Mediesu Aurit,1922207,47.7889019240489,23.1371268361936,47.786743,23.1376644
Romania,RO,,Mehadia,1922229,44.9030509339223,22.3659065083708,44.906575,22.360437
Romania,RO,,Mehadica,1922230,45.0388748830183,22.2638163539855,44.906575,22.360437
Romania,RO,,Melinesti,1922245,44.575613334343,23.7065397681181,44.5797174,23.7037353
Romania,RO,,Mera,1922256,45.7628438326744,26.9379144577924,45.7666667,26.9333333
Romania,RO,,Merei,1922270,45.1292051,26.6778841,45.1296961,26.6771238
Romania,RO,,Mereni,1922278,46.0792423,26.235967,44.2333333,25.6333333
Romania,RO,,Meresti,1922284,47.548930869224,26.404601362122,46.2343918,25.4569963
Romania,RO,,Merghindeal,1922288,45.9653348177884,24.7250556312201,45.964954,24.7296979
Romania,RO,,Merisani,1922302,44.1167872909376,25.3972119543412,44.9663395,24.7415825
Romania,RO,,Mesesenii de Jos,1922330,47.1530959851576,22.9479720196499,47.1545891,22.9481642
Romania,RO,,Metes,1922360,46.1003840321659,23.4212934581978,46.0969444,23.4213889
Romania,RO,,Micasasa,1922389,46.0880479678265,24.1047774138777,46.0872013,24.1072459
Romania,RO,,Mica,1922386,46.3682078742797,24.4115904585269,46.3575924,24.3795615
Romania,RO,,Mica,1922387,46.3682078742797,24.4115904585269,46.3575924,24.3795615
Romania,RO,,Micesti,1922393,46.6501974,23.6168121,44.95,24.8666667
Romania,RO,,Miclesti,1922402,46.822785758765,27.8374459353059,46.8224527,27.8364352
Romania,RO,,Micula,1922419,47.9019642998462,22.9566704581986,47.9,22.95
Romania,RO,,Miercurea Nirajului,1922435,46.5331165431962,24.8068659259185,46.535492,24.800265
Romania,RO,,Miercurea Sibiului,1922436,45.8885865,23.7938204,45.890756,23.793744
